ipo_id,name,market,symbol,sector,stage,underwriters,subscription_start,subscription_end,listing_date,price_band_low,price_band_high,offer_price,retail_competition_ratio_live,institutional_competition_ratio,allocation_ratio_retail,allocation_ratio_proportional,lockup_commitment_ratio,employee_subscription_ratio,employee_forfeit_ratio,circulating_shares_ratio_on_listing,existing_shareholder_ratio,current_price,day_change_pct,ma20,ma60,rsi14,ir_url,dart_receipt_no,notes,unusual_move_flag,volume_spike_ratio,unlock_date_15d,unlock_date_1m,unlock_date_3m,unlock_date_6m,unlock_date_1y
DEMO001,뉴웨이브바이오,코스닥,480010,바이오,청약예정,"KB증권, NH투자증권",2026-03-30,2026-03-31,2026-04-08,18000,22000,20000,,920.5,25.0,50.0,14.8,12.0,0.0,27.5,58.0,,,,,,,,데모 데이터,False,1.0,2026-04-23,2026-05-08,2026-07-07,2026-10-05,2027-04-08
DEMO002,에이아이센서,코스닥,480020,반도체,청약중,미래에셋증권,2026-03-25,2026-03-26,2026-04-03,14000,17000,16000,712.4,1450.2,30.0,60.0,19.2,10.5,0.8,24.1,60.7,,,,,,,,데모 데이터,False,1.0,2026-04-18,2026-05-03,2026-07-02,2026-09-30,2027-04-03
DEMO003,클라우드엣지,코스닥,480030,소프트웨어,상장예정,"한국투자증권, 삼성증권",2026-03-18,2026-03-19,2026-03-31,12000,14500,13500,980.1,1120.7,25.0,50.0,11.6,8.0,1.1,30.3,52.6,,,,,,,,데모 데이터,False,1.0,2026-04-15,2026-04-30,2026-06-29,2026-09-27,2027-03-31
DEMO004,그린모빌리티,코스닥,480040,자동차부품,상장후,NH투자증권,2026-03-03,2026-03-04,2026-03-12,13000,17000,15000,1340.2,875.4,25.0,50.0,9.5,6.3,0.0,34.8,49.7,17850.0,2.4,17100.0,16400.0,61.2,,,데모 데이터,False,1.5,2026-03-27,2026-04-11,2026-06-10,2026-09-08,2027-03-12
DEMO005,퀀텀로보틱스,코스피,480050,로봇,상장후,"KB증권, 한국투자증권",2026-02-10,2026-02-11,2026-02-18,28000,34000,32000,765.8,990.3,20.0,50.0,22.0,15.2,0.5,21.9,63.0,35400.0,-1.1,34850.0,33200.0,54.8,,,데모 데이터,False,0.9,2026-03-05,2026-03-20,2026-05-19,2026-08-17,2027-02-18
DEMO006,오션데이터,코스닥,480060,데이터센터,상장후,삼성증권,2026-01-20,2026-01-21,2026-01-29,9000,12000,11000,512.7,680.1,30.0,60.0,7.2,4.0,1.8,38.2,44.3,9620.0,-7.8,10450.0,11200.0,38.6,,,거래량 급증 데모,True,4.4,2026-02-13,2026-02-28,2026-04-29,2026-07-28,2027-01-29
DEMO007,메디퓨처,코스닥,480070,의료기기,상장후,대신증권,2025-12-02,2025-12-03,2025-12-11,21000,26000,24000,845.0,1204.5,25.0,50.0,17.4,11.2,0.0,26.4,57.1,28100.0,3.1,26800.0,25100.0,66.5,,,데모 데이터,False,1.3,2025-12-26,2026-01-10,2026-03-11,2026-06-09,2026-12-11
DEMO008,스마트그리드솔루션,코스피,480080,산업재,상장후,신한투자증권,2025-09-15,2025-09-16,2025-09-23,18000,22000,21000,430.5,701.4,20.0,50.0,12.2,5.0,2.3,31.0,51.5,19650.0,0.6,19820.0,20500.0,47.3,,,데모 데이터,False,1.1,2025-10-08,2025-10-23,2025-12-22,2026-03-22,2026-09-23
DEMO009,핀테크브릿지,코스닥,480090,핀테크,청약예정,한국투자증권,2026-04-07,2026-04-08,2026-04-16,9500,12000,11000,,625.2,30.0,60.0,10.1,7.4,0.0,33.0,50.0,,,,,,,,데모 데이터,False,1.0,2026-05-01,2026-05-16,2026-07-15,2026-10-13,2027-04-16
DEMO010,리뉴에너지,코스피,480100,에너지,상장예정,"미래에셋증권, NH투자증권",2026-04-06,2026-04-07,2026-04-15,25000,31000,29000,,1187.9,20.0,50.0,18.6,9.6,0.0,25.6,59.3,,,,,,,,데모 데이터,False,1.0,2026-04-30,2026-05-15,2026-07-14,2026-10-12,2027-04-15
